RadViz_X,RadViz_Y,Obj_DeltaW_BGA,Obj_DeltaW_bump,Obj_ELK_stress,Obj_Warpage_Post_UF_cure,Obj_Warpage_post_lid_atach,Bulk silicon thickness,Bump solder height,Cu-pillar pitch–diameter,Lid foot width,Lid thicknes,"Substrate core (E, CTE)",Substrate core thickness,"UF (E, CTE)",lid thickness,BGA solder material,Bump solder material,Cu-pillar bump solder material
0.0008721728140322532,0.009928039922797437,0.0016426751390099525,0.15417781472206116,5.678564548492432,-0.08249269425868988,0.06594070047140121,0.25,0.06,0.125,9.0,2.0,6e-06,0.4,2e-05,1.5,SAC205,SAC205,SAC405
0.00610696682719839,-0.02348314475898968,0.020291170105338097,0.17570221424102783,5.999804496765137,-0.05902060866355896,0.004739290568977594,0.5,0.04,0.125,9.0,1.0,3e-06,0.4,2.5e-05,1.5,SAC305,SAC105,SAC405
0.12902451441582546,0.17689808842184257,0.01758953370153904,0.04550504684448242,4.837749004364014,-0.018187595531344414,0.01391447801142931,0.75,0.06,0.125,3.0,2.0,3e-06,1.2,2e-05,1.0,SAC405,SAC105,SAC205
0.31354895856907966,0.13375269179730065,0.008482541888952255,0.02323376014828682,9.454465866088867,-0.03705499693751335,0.0905303880572319,0.25,0.06,0.125,9.0,1.5,3e-06,0.8,2e-05,1.0,SAC305,SAC405,SAC405
0.12322198093427905,0.11406543813948958,0.02306201308965683,0.04632408544421196,6.439942836761475,-0.03045072592794895,0.01634632796049118,0.75,0.06,0.125,3.0,1.5,3e-06,0.8,2e-05,1.5,SAC305,SAC205,SAC205
0.017642021759538468,0.054655509336437896,0.013389570638537407,0.06256914138793945,4.991647243499756,-0.059538476169109344,0.012226935476064682,0.5,0.06,0.125,3.0,1.5,3e-06,0.4,2e-05,1.5,SAC305,SAC105,SAC405
-0.033807121330650156,0.12554269705306248,0.016168711706995964,0.06644673645496368,5.567966938018799,-0.06789541989564896,0.10031993687152863,0.25,0.06,0.125,9.0,1.0,3e-06,0.4,2e-05,1.0,SAC305,SAC205,SAC105
0.0772715805830254,0.004669564220508441,0.01664988324046135,0.05499804764986038,8.999914169311523,-0.07503646612167358,0.07925565540790558,0.25,0.04,0.125,9.0,1.5,3e-06,0.4,2e-05,1.0,SAC305,SAC405,SAC405
0.05821306695759798,-0.007016360329197488,0.0,0.10073628276586533,6.120408058166504,-0.07608713954687119,0.02453853189945221,0.5,0.06,0.125,3.0,1.5,6e-06,0.4,2e-05,1.0,SAC305,SAC205,SAC205
0.1928583519671356,-0.05122256486676279,0.0,0.17256762087345123,7.316125392913818,-0.048849161714315414,-0.013127163052558899,0.25,0.06,0.125,9.0,2.0,9e-06,0.8,2.5e-05,1.5,SAC205,SAC305,SAC305
0.3573107934319116,0.143855169298513,0.00014735937293153256,0.0,9.300466537475586,-0.033728886395692825,0.08521723002195358,0.25,0.06,0.125,3.0,1.0,3e-06,0.8,2e-05,1.0,SAC405,SAC405,SAC405
-0.03436717529616296,0.12983821609816024,0.0133739672601223,0.06770724058151245,4.661415100097656,-0.06501618772745132,0.08553416281938553,0.25,0.06,0.125,9.0,1.5,3e-06,0.4,2e-05,1.0,SAC305,SAC105,SAC305
0.12329758105641825,0.21086818500539425,0.021023981273174286,0.0,4.977194786071777,-0.017415625974535942,0.022712023928761482,0.25,0.06,0.125,3.0,2.0,3e-06,1.2,2.5e-05,1.0,SAC405,SAC105,SAC405
0.060608162092654,0.13660227338282593,0.0,0.20954395830631256,4.38457727432251,-0.04560762643814087,0.09536605328321457,0.5,0.06,0.125,9.0,1.0,9e-06,0.8,2.5e-05,2.0,SAC305,SAC105,SAC305
0.0767397739989959,0.05036393420649474,2.9486505809472874e-05,0.3089818060398102,4.419364929199219,-0.04153519868850708,0.05205204710364342,0.5,0.06,0.125,3.0,1.0,9e-06,0.8,3e-05,1.5,SAC405,SAC105,SAC405
0.09890085617172589,-0.13371102951819258,0.0,0.22883941233158112,8.484228134155273,-0.08474411070346832,0.031470514833927155,0.25,0.06,0.125,9.0,2.0,9e-06,0.4,2.5e-05,1.0,SAC305,SAC405,SAC205
0.029038708011846458,-0.10442347752958696,0.0,0.35763832926750183,5.548159122467041,-0.07073251157999039,0.013454855419695377,0.25,0.04,0.125,6.0,2.0,9e-06,0.4,3e-05,1.0,SAC305,SAC105,SAC205
