Cu-pillar pitch–diameter,Bulk silicon thickness,Bump solder height,Substrate core thickness,"Substrate core (E, CTE)","UF (E, CTE)",Lid foot width,lid thickness,Cu-pillar bump solder material,BGA solder material,DeltaW_BGA,DeltaW_bump
0.125,0.25,0.02,1.2,3e-06,2.5e-05,6,2.0,SAC405,SAC105,0.39541914562384295,0.192616324871779
0.125,0.5,0.02,0.8,9e-06,2.5e-05,3,1.5,SAC205,SAC205,0.444111282626788,0.0013001368251934695
0.125,0.75,0.04,0.4,6e-06,2e-05,6,2.0,SAC305,SAC405,0.23288330435752896,0.0036484093725448197
0.125,0.25,0.04,0.8,9e-06,2.5e-05,3,1.0,SAC105,SAC305,0.48044409602880506,0.05290566757321319
0.125,0.25,0.02,1.2,3e-06,3e-05,3,2.0,SAC105,SAC405,0.325206364194552,0.023576088715344605
0.125,0.25,0.02,1.2,9e-06,2e-05,3,1.0,SAC205,SAC405,0.26171228041251504,0.00151978064968716
0.125,0.75,0.02,0.8,9e-06,3e-05,6,2.0,SAC205,SAC305,0.734330316384633,0.0014744998243258998
0.125,0.5,0.04,0.4,3e-06,2.5e-05,3,1.5,SAC305,SAC105,0.538279093801975,0.1019635559059679
0.125,0.75,0.04,0.8,3e-06,3e-05,6,2.0,SAC405,SAC205,0.4564716294407839,0.0849524047225706
0.125,0.5,0.04,0.4,6e-06,2.5e-05,6,1.5,SAC205,SAC305,0.282799415290355,0.009575334435794499
0.125,0.5,0.06,1.2,3e-06,2e-05,6,1.0,SAC105,SAC405,0.08369444124400599,0.0222494527697563
0.125,0.75,0.04,1.2,6e-06,2e-05,9,2.0,SAC305,SAC105,0.355197124183178,0.120400176383555
0.125,0.5,0.02,1.2,6e-06,2e-05,6,2.0,SAC205,SAC305,0.31840827564398405,0.0218978730263188
0.125,0.5,0.02,0.4,6e-06,3e-05,9,2.0,SAC305,SAC405,1.038822134335829,0.005925990088144239
0.125,0.5,0.02,0.4,9e-06,3e-05,9,1.0,SAC105,SAC405,0.666726619005199,0.0037724920475738603
0.125,0.75,0.04,1.2,6e-06,2e-05,9,2.0,SAC305,SAC105,0.25786490738391904,0.08047166466712911
0.125,0.5,0.04,0.4,3e-06,2.5e-05,6,2.0,SAC405,SAC405,0.30668582767248204,0.018361339927651
0.125,0.75,0.02,0.4,9e-06,2.5e-05,6,1.0,SAC405,SAC205,0.70451190074284,0.0008928420784286599
0.125,0.5,0.02,0.4,3e-06,2.5e-05,9,1.5,SAC105,SAC405,0.531339233120282,0.00422550299845161
0.125,0.25,0.06,0.4,6e-06,3e-05,3,1.0,SAC305,SAC205,0.327106341719627,0.00226756334450329
0.125,0.5,0.04,0.8,3e-06,2e-05,3,1.0,SAC105,SAC305,0.157820019870997,0.012287486926652502
0.125,0.25,0.06,1.2,6e-06,2.5e-05,3,1.0,SAC405,SAC305,0.12497406080365198,0.0104040825972333
0.125,0.25,0.04,0.8,9e-06,2e-05,6,1.0,SAC205,SAC305,0.172747362405062,0.0011820959211945605
0.125,0.75,0.06,1.2,9e-06,3e-05,6,2.0,SAC305,SAC205,0.39488560706376996,0.00262093101082428
0.125,0.75,0.06,0.8,3e-06,3e-05,9,1.0,SAC405,SAC305,0.21893970668315899,0.011365572485374297
0.125,0.5,0.02,0.4,3e-06,2e-05,9,1.5,SAC405,SAC105,0.344987288117409,0.0404477547854185
0.125,0.25,0.04,1.2,9e-06,3e-05,6,1.0,SAC305,SAC405,0.30940286070108397,0.0013963356032036202
0.125,0.5,0.04,0.4,6e-06,2e-05,6,1.0,SAC405,SAC205,0.25549525022506697,0.006423070066375701
0.125,0.25,0.02,0.4,3e-06,3e-05,3,1.0,SAC105,SAC305,0.505952248970668,0.0045248563692439
0.125,0.25,0.04,0.4,6e-06,2.5e-05,3,1.0,SAC405,SAC405,0.25456491857767094,0.0024242727813543804
0.125,0.25,0.04,1.2,9e-06,3e-05,6,1.0,SAC305,SAC305,0.2745699360966691,0.00260348420124493
0.125,0.5,0.02,0.8,6e-06,2e-05,3,1.0,SAC305,SAC305,0.5964705993731759,0.03549116454087191
0.125,0.5,0.04,1.2,6e-06,2.5e-05,6,1.5,SAC405,SAC105,0.185448750853538,0.028928798623383004
